Time(s),Fx,Fy,Fz,Mx,My,Mz
1.434262,-0.0004,-0.0037,-0.0130,-0.0001,0.0000,0.0003
1.444290,0.0045,-0.0046,0.0014,-0.0000,0.0001,0.0003
1.454320,0.0059,-0.0036,-0.0068,-0.0002,0.0001,0.0004
1.464348,0.0102,-0.0009,0.0174,-0.0003,0.0001,0.0000
1.474378,0.0140,-0.0021,0.0077,-0.0003,0.0001,0.0000
1.484407,0.0113,0.0005,0.0147,-0.0001,0.0001,-0.0001
1.494436,0.0088,-0.0044,0.0105,-0.0001,0.0001,-0.0001
1.504465,0.0128,-0.0088,-0.0037,0.0000,0.0000,-0.0002
1.514493,0.0133,-0.0074,-0.0114,0.0000,0.0000,-0.0000
1.524521,0.0106,-0.0080,-0.0234,0.0001,-0.0000,-0.0000
1.534550,0.0113,-0.0066,-0.0185,0.0002,-0.0000,0.0001
1.544578,0.0088,-0.0073,-0.0036,0.0002,0.0000,0.0001
1.554607,0.0097,-0.0060,0.0046,0.0003,-0.0001,0.0000
1.564636,0.0105,-0.0084,0.0014,0.0003,-0.0001,0.0001
1.574669,0.0081,-0.0088,-0.0067,0.0003,-0.0003,0.0001
1.584703,0.0060,-0.0092,-0.0035,0.0004,-0.0003,-0.0001
1.594732,-0.0022,-0.0024,0.0046,0.0004,-0.0002,-0.0001
1.604761,-0.0064,-0.0016,0.0014,0.0002,-0.0003,-0.0002
1.614790,-0.0040,-0.0045,-0.0119,0.0002,-0.0003,-0.0001
1.624818,-0.0049,-0.0054,-0.0083,0.0002,-0.0001,-0.0001
1.634846,-0.0058,-0.0061,-0.0049,0.0001,-0.0001,-0.0001
1.644875,-0.0065,-0.0068,0.0033,0.0000,0.0000,-0.0002
1.654903,-0.0072,-0.0074,0.0003,0.0000,-0.0001,-0.0002
1.664931,-0.0109,-0.0062,0.0133,0.0001,0.0000,-0.0002
1.674960,-0.0081,-0.0050,0.0040,0.0001,0.0000,-0.0003
1.684988,-0.0086,-0.0022,-0.0044,0.0003,0.0000,-0.0002
1.695017,-0.0091,-0.0033,-0.0067,0.0002,0.0001,-0.0001
1.705045,-0.0033,-0.0042,0.0070,0.0002,0.0002,-0.0003
1.715088,-0.0012,-0.0033,0.0351,0.0002,0.0004,-0.0003
1.725117,-0.0055,0.0011,0.0235,0.0000,0.0003,-0.0003
1.735146,-0.0063,-0.0039,0.0184,0.0001,0.0004,-0.0003
1.745175,-0.0008,-0.0012,0.0191,0.0000,0.0003,-0.0002
1.755203,-0.0020,-0.0023,0.0145,0.0000,0.0002,-0.0002
1.765232,-0.0001,-0.0016,-0.0055,0.0000,0.0001,-0.0000
1.775261,-0.0014,-0.0027,-0.0182,-0.0000,0.0001,-0.0000
1.785291,-0.0057,-0.0019,-0.0139,-0.0000,0.0002,-0.0001
1.795320,-0.0034,-0.0048,-0.0099,0.0001,0.0001,-0.0000
1.805350,-0.0044,-0.0020,-0.0222,0.0001,0.0001,0.0001
1.815379,0.0010,-0.0031,-0.0279,0.0001,0.0001,0.0001
1.825408,-0.0004,-0.0005,-0.0332,-0.0000,0.0001,0.0001
1.835437,0.0014,0.0001,-0.0274,-0.0000,0.0002,0.0001
1.845466,-0.0001,-0.0012,-0.0379,-0.0001,0.0001,0.0001
1.855494,-0.0014,-0.0024,-0.0473,-0.0000,0.0001,0.0001
1.865523,-0.0057,-0.0052,-0.0400,0.0001,0.0001,-0.0001
1.875552,-0.0065,-0.0024,-0.0335,-0.0000,0.0000,0.0000
1.885581,-0.0103,-0.0016,-0.0276,0.0001,-0.0000,-0.0000
1.895609,-0.0075,-0.0045,-0.0381,0.0002,-0.0000,0.0000
1.905637,-0.0050,-0.0035,-0.0370,0.0001,-0.0001,0.0001
1.915666,-0.0059,-0.0045,-0.0360,0.0004,-0.0000,0.0001
1.925694,-0.0035,-0.0070,-0.0246,0.0004,-0.0001,0.0002
1.935722,0.0017,-0.0040,-0.0248,0.0005,-0.0001,0.0002
1.945751,0.0002,-0.0049,-0.0251,0.0004,-0.0001,0.0002
1.955778,0.0019,-0.0039,-0.0305,0.0004,-0.0001,0.0003
1.965806,-0.0027,-0.0030,-0.0197,0.0004,-0.0001,0.0002
1.975834,-0.0069,0.0014,-0.0205,0.0002,-0.0000,0.0002
1.985862,-0.0044,0.0018,-0.0212,0.0002,-0.0001,0.0003
1.995891,-0.0022,0.0021,-0.0165,0.0001,-0.0001,0.0002
2.005987,-0.0002,0.0024,-0.0229,0.0001,-0.0001,0.0003
2.016015,-0.0015,0.0009,-0.0234,-0.0001,-0.0001,0.0003
2.026044,0.0005,-0.0022,-0.0343,-0.0001,-0.0002,0.0003
2.036088,0.0022,-0.0051,-0.0284,-0.0001,-0.0000,0.0002
2.046118,0.0038,-0.0076,-0.0440,-0.0001,-0.0001,0.0002
2.056147,0.0082,-0.0082,-0.0371,0.0001,0.0000,0.0002
2.066176,0.0061,-0.0122,-0.0361,-0.0001,-0.0001,0.0002
2.076205,0.0073,-0.0141,-0.0352,0.0000,0.0000,0.0002
2.086235,0.0084,-0.0157,-0.0292,-0.0001,-0.0000,0.0001
2.096265,0.0093,-0.0171,-0.0132,-0.0001,-0.0001,-0.0000
2.106295,0.0101,-0.0149,-0.0251,0.0000,-0.0001,0.0001
2.116324,0.0078,-0.0076,-0.0096,0.0000,0.0001,-0.0002
2.126354,0.0088,-0.0062,-0.0166,-0.0000,-0.0000,-0.0002
2.136383,0.0097,-0.0087,-0.0177,0.0000,0.0000,-0.0001
2.146411,0.0135,-0.0091,-0.0239,0.0002,0.0001,-0.0001
2.156440,0.0109,-0.0095,-0.0190,0.0001,0.0000,-0.0001
2.166468,0.0116,-0.0115,-0.0198,0.0001,-0.0001,0.0000
2.176497,0.0153,-0.0117,-0.0205,0.0002,0.0000,0.0000
2.186526,0.0124,-0.0117,-0.0212,0.0003,-0.0001,0.0000
2.196555,0.0129,-0.0136,-0.0218,0.0004,0.0000,-0.0001
2.206584,0.0103,-0.0136,-0.0223,0.0004,0.0001,-0.0001
2.216613,0.0079,-0.0171,-0.0175,0.0005,0.0000,-0.0001
2.226642,0.0027,-0.0149,-0.0290,0.0003,0.0000,-0.0002
2.236670,0.0011,-0.0182,-0.0289,0.0003,-0.0001,-0.0002
2.246698,-0.0035,-0.0123,-0.0234,0.0004,-0.0001,-0.0002
2.256727,-0.0014,-0.0105,-0.0133,0.0005,-0.0001,-0.0002
2.266755,-0.0026,-0.0144,-0.0199,0.0005,-0.0000,-0.0002
2.276783,-0.0005,-0.0124,-0.0259,0.0004,-0.0000,-0.0001
2.286812,0.0044,-0.0160,-0.0313,0.0005,-0.0001,-0.0001
2.296840,0.0058,-0.0174,-0.0309,0.0003,-0.0002,-0.0001
2.306870,0.0070,-0.0224,-0.0253,0.0002,-0.0001,-0.0000
2.316899,0.0049,-0.0214,-0.0255,0.0003,0.0000,-0.0002
2.326928,0.0031,-0.0205,0.0006,0.0001,0.0000,-0.0004
2.336957,0.0046,-0.0216,0.0030,0.0003,0.0001,-0.0003
2.346985,0.0059,-0.0189,-0.0053,0.0002,0.0001,-0.0003
2.357013,0.0071,-0.0165,0.0030,0.0001,0.0001,-0.0003
2.367041,0.0081,-0.0107,-0.0000,0.0001,0.0002,-0.0004
2.377083,0.0091,-0.0091,-0.0080,0.0001,0.0002,-0.0005
2.387113,0.0069,-0.0059,-0.0099,0.0001,0.0001,-0.0003
2.397142,0.0048,-0.0066,-0.0117,0.0002,0.0002,-0.0003
2.407172,0.0061,-0.0054,-0.0132,0.0003,0.0002,-0.0003
2.417201,0.0072,-0.0044,-0.0041,0.0002,0.0002,-0.0003
2.427230,0.0083,-0.0070,-0.0064,0.0002,0.0001,-0.0002
2.437259,0.0061,-0.0076,-0.0138,0.0002,0.0001,-0.0002
2.447288,0.0042,-0.0081,-0.0152,0.0000,0.0000,-0.0002
2.457316,0.0087,-0.0085,-0.0111,-0.0001,-0.0000,-0.0002
2.467345,0.0096,-0.0107,-0.0127,-0.0000,-0.0001,-0.0001
2.477374,0.0073,-0.0073,-0.0089,-0.0000,-0.0002,-0.0000
2.487403,0.0083,-0.0060,-0.0159,0.0001,-0.0003,0.0001
2.497432,0.0093,-0.0048,-0.0223,-0.0000,-0.0004,0.0002
2.507461,0.0101,-0.0038,-0.0280,0.0001,-0.0004,0.0002
2.517490,0.0109,-0.0065,-0.0332,0.0001,-0.0003,0.0002
2.527518,0.0085,-0.0071,-0.0117,-0.0001,-0.0003,0.0000
2.537547,0.0094,-0.0095,-0.0080,-0.0001,-0.0002,-0.0001
2.547576,0.0071,-0.0062,-0.0099,-0.0001,-0.0002,-0.0002
2.557605,0.0020,-0.0015,-0.0222,-0.0003,-0.0002,-0.0002
2.567633,0.0036,-0.0044,-0.0070,-0.0002,-0.0001,-0.0001
2.577662,0.0050,-0.0035,-0.0038,-0.0002,-0.0000,-0.0001
2.587690,0.0062,-0.0026,-0.0008,0.0000,0.0001,-0.0002
2.597719,0.0043,-0.0036,0.0123,0.0001,0.0002,-0.0003
2.607747,0.0025,-0.0046,0.0083,0.0002,0.0002,-0.0003
2.617775,-0.0022,-0.0036,0.0152,-0.0000,0.0002,-0.0003
2.627803,-0.0033,-0.0081,0.0215,0.0002,0.0002,-0.0003
2.637832,-0.0043,-0.0050,0.0167,0.0002,0.0001,-0.0002
2.647860,-0.0053,-0.0058,0.0070,0.0003,0.0001,-0.0002
2.657888,-0.0029,-0.0047,-0.0017,0.0001,0.0001,-0.0001
2.667916,-0.0009,-0.0001,-0.0095,0.0001,0.0001,-0.0000
2.677945,0.0010,-0.0032,-0.0219,0.0001,0.0002,0.0000
2.687973,-0.0035,-0.0024,-0.0172,0.0000,0.0002,-0.0000
2.698001,-0.0014,-0.0016,-0.0234,0.0000,0.0002,-0.0001
2.708030,0.0005,-0.0045,-0.0185,0.0001,0.0001,-0.0002
2.718064,0.0022,0.0037,-0.0036,0.0001,0.0000,-0.0003
2.728092,0.0037,0.0038,-0.0165,0.0002,0.0000,-0.0001
2.738122,0.0082,-0.0013,0.0035,0.0002,-0.0000,-0.0003
2.748151,0.0092,-0.0043,0.0004,0.0001,0.0001,-0.0002
2.758180,0.0069,-0.0087,0.0134,0.0002,0.0001,-0.0003
2.768209,0.0049,-0.0091,0.0093,0.0002,0.0000,-0.0002
2.778238,0.0062,-0.0113,0.0109,0.0001,-0.0000,-0.0003
2.788267,0.0012,-0.0096,0.0124,0.0001,-0.0002,-0.0003
2.798296,-0.0003,-0.0099,0.0032,0.0001,-0.0001,-0.0003
2.808325,-0.0016,-0.0138,0.0054,0.0000,-0.0002,-0.0003
2.818354,0.0004,-0.0154,0.0074,0.0001,-0.0002,-0.0004
2.828383,0.0021,-0.0169,0.0039,0.0001,-0.0002,-0.0003
2.838412,-0.0026,-0.0183,0.0218,0.0002,-0.0001,-0.0004
2.848440,-0.0006,-0.0160,0.0274,0.0002,-0.0001,-0.0002
2.858468,-0.0019,-0.0156,0.0220,0.0002,-0.0001,-0.0002
2.868498,-0.0030,-0.0154,0.0170,0.0003,-0.0000,-0.0002
2.878527,-0.0072,-0.0169,0.0232,0.0004,-0.0000,-0.0003
2.888556,-0.0047,-0.0147,0.0129,0.0004,-0.0000,-0.0003
2.898584,-0.0056,-0.0181,0.0141,0.0004,-0.0000,-0.0003
2.908613,-0.0063,-0.0140,0.0047,0.0004,-0.0000,-0.0002
2.918642,-0.0070,-0.0138,0.0015,0.0004,-0.0001,-0.0002
2.928670,-0.0045,-0.0120,-0.0014,0.0002,-0.0000,-0.0002
2.938699,-0.0023,-0.0138,-0.0197,0.0002,-0.0001,-0.0001
2.948727,-0.0034,-0.0137,-0.0153,0.0002,0.0000,-0.0001
2.958756,-0.0044,-0.0208,-0.0112,0.0003,-0.0000,-0.0002
2.968784,-0.0053,-0.0164,-0.0076,0.0002,-0.0000,-0.0003
2.978813,-0.0061,-0.0160,-0.0200,0.0002,-0.0002,-0.0003
2.988841,-0.0037,-0.0139,-0.0155,0.0001,-0.0002,-0.0003
2.998869,-0.0016,-0.0120,-0.0114,0.0002,-0.0001,-0.0003
